Date,Typical Price
2023-06-15,0.3313
2023-06-16,0.3351
2023-06-17,0.3412
2023-06-18,0.3385
2023-06-19,0.3372
2023-06-20,0.3438
2023-06-21,0.3659
2023-06-22,0.375
2023-06-23,0.3841
2023-06-24,0.4046
2023-06-25,0.3984
2023-06-26,0.3813
2023-06-27,0.3865
2023-06-28,0.369
2023-06-29,0.3668
2023-06-30,0.3785
2023-07-01,0.4072
2023-07-02,0.4076
2023-07-03,0.4065
2023-07-04,0.4024
2023-07-05,0.3891
2023-07-06,0.3823
2023-07-07,0.3784
2023-07-08,0.3859
2023-07-09,0.383
2023-07-10,0.3824
2023-07-11,0.3882
2023-07-12,0.3935
2023-07-13,0.4235
2023-07-14,0.4203
2023-07-15,0.4163
2023-07-16,0.4131
2023-07-17,0.4134
2023-07-18,0.4069
2023-07-19,0.4017
2023-07-20,0.4005
2023-07-21,0.4009
2023-07-22,0.3993
2023-07-23,0.4037
2023-07-24,0.3933
2023-07-25,0.385
2023-07-26,0.3877
2023-07-27,0.3869
2023-07-28,0.3874
2023-07-29,0.3901
2023-07-30,0.3899
2023-07-31,0.3846
2023-08-01,0.3826
2023-08-02,0.3774
2023-08-03,0.37
2023-08-04,0.3649
2023-08-05,0.3663
2023-08-06,0.3727
2023-08-07,0.3683
2023-08-08,0.3693
2023-08-09,0.3688
2023-08-10,0.3679
2023-08-11,0.3686
2023-08-12,0.3703
2023-08-13,0.3676
2023-08-14,0.3651
2023-08-15,0.3502
2023-08-16,0.3324
2023-08-17,0.3051
2023-08-18,0.3039
2023-08-19,0.3069
2023-08-20,0.3081
2023-08-21,0.3023
2023-08-22,0.3006
2023-08-23,0.3084
2023-08-24,0.3071
2023-08-25,0.3038
2023-08-26,0.3022
2023-08-27,0.2999
2023-08-28,0.2994
2023-08-29,0.3075
2023-08-30,0.3085
2023-08-31,0.2974
2023-09-01,0.2928
2023-09-02,0.2913
2023-09-03,0.291
2023-09-04,0.2926
2023-09-05,0.2924
2023-09-06,0.2942
2023-09-07,0.2967
2023-09-08,0.2951
2023-09-09,0.294
2023-09-10,0.2854
2023-09-11,0.2728
2023-09-12,0.2731
2023-09-13,0.2765
2023-09-14,0.2881
2023-09-15,0.2937
2023-09-16,0.3
2023-09-17,0.2925
2023-09-18,0.2918
2023-09-19,0.2972
2023-09-20,0.2979
2023-09-21,0.2964
2023-09-22,0.2936
2023-09-23,0.2945
2023-09-24,0.2951
2023-09-25,0.2974
2023-09-26,0.2964
2023-09-27,0.2957
2023-09-28,0.2972
2023-09-29,0.3125
2023-09-30,0.3106
2023-10-01,0.3194
2023-10-02,0.3152
2023-10-03,0.3055
2023-10-04,0.2968
2023-10-05,0.2952
2023-10-06,0.2984
2023-10-07,0.2995
2023-10-08,0.2973
2023-10-09,0.2855
2023-10-10,0.2787
2023-10-11,0.277
2023-10-12,0.2775
2023-10-13,0.2811
2023-10-14,0.2837
2023-10-15,0.2857
2023-10-16,0.2906
2023-10-17,0.2829
2023-10-18,0.279
2023-10-19,0.2769
2023-10-20,0.2846
2023-10-21,0.296
2023-10-22,0.3019
2023-10-23,0.3183
2023-10-24,0.3428
2023-10-25,0.3478
2023-10-26,0.3515
2023-10-27,0.343
2023-10-28,0.348
2023-10-29,0.3708
2023-10-30,0.3782
2023-10-31,0.3662
2023-11-01,0.3711
2023-11-02,0.4008
2023-11-03,0.3971
2023-11-04,0.4037
2023-11-05,0.4065
2023-11-06,0.4178
2023-11-07,0.4174
2023-11-08,0.4227
2023-11-09,0.4229
2023-11-10,0.4288
2023-11-11,0.4628
2023-11-12,0.4648
2023-11-13,0.4598
2023-11-14,0.4283
2023-11-15,0.4427
2023-11-16,0.4389
2023-11-17,0.4257
2023-11-18,0.4141
2023-11-19,0.4247
2023-11-20,0.4254
2023-11-21,0.3946
2023-11-22,0.3968
2023-11-23,0.4049
2023-11-24,0.4117
2023-11-25,0.4493
2023-11-26,0.4542
2023-11-27,0.445
2023-11-28,0.4374
2023-11-29,0.4395
2023-11-30,0.4345
2023-12-01,0.4366
2023-12-02,0.4519
2023-12-03,0.4519
2023-12-04,0.4541
2023-12-05,0.4662
2023-12-06,0.4757
2023-12-07,0.49
2023-12-08,0.5103
2023-12-09,0.5352
2023-12-10,0.5431
2023-12-11,0.4988
2023-12-12,0.4906
2023-12-13,0.49
2023-12-14,0.5083
2023-12-15,0.4939
2023-12-16,0.4956
2023-12-17,0.4909
2023-12-18,0.4689
2023-12-19,0.4778
2023-12-20,0.4942
2023-12-21,0.5126
2023-12-22,0.522
2023-12-23,0.5183
2023-12-24,0.5342
2023-12-25,0.5519
2023-12-26,0.5645
2023-12-27,0.5502
2023-12-28,0.5393
2023-12-29,0.5201
2023-12-30,0.5145
2023-12-31,0.5216
2024-01-01,0.5324
2024-01-02,0.5347
2024-01-03,0.4823
2024-01-04,0.4717
2024-01-05,0.4614
2024-01-06,0.448
2024-01-07,0.438
2024-01-08,0.4353
2024-01-09,0.4348
2024-01-10,0.4535
2024-01-11,0.4804
2024-01-12,0.468
2024-01-13,0.4652
2024-01-14,0.4528
2024-01-15,0.4525
2024-01-16,0.4601
2024-01-17,0.4613
2024-01-18,0.447
2024-01-19,0.4577
2024-01-20,0.4709
2024-01-21,0.4787
2024-01-22,0.4535
2024-01-23,0.427
2024-01-24,0.4352
2024-01-25,0.4331
2024-01-26,0.4438
2024-01-27,0.451
2024-01-28,0.4503
2024-01-29,0.453
2024-01-30,0.4499
2024-01-31,0.4357
2024-02-01,0.4319
2024-02-02,0.4404
2024-02-03,0.4399
2024-02-04,0.4334
2024-02-05,0.4333
2024-02-06,0.4332
2024-02-07,0.4395
2024-02-08,0.4479
2024-02-09,0.4616
2024-02-10,0.4659
2024-02-11,0.4679
2024-02-12,0.4788
2024-02-13,0.4712
2024-02-14,0.4806
2024-02-15,0.4982
2024-02-16,0.4997
2024-02-17,0.4944
2024-02-18,0.4998
2024-02-19,0.5113
2024-02-20,0.5001
2024-02-21,0.4811
2024-02-22,0.4843
2024-02-23,0.4808
2024-02-24,0.4936
2024-02-25,0.5077
2024-02-26,0.5291
2024-02-27,0.5553
2024-02-28,0.5745
2024-02-29,0.6293
2024-03-01,0.6581
2024-03-02,0.6786
2024-03-03,0.6591
2024-03-04,0.6665
2024-03-05,0.6283
2024-03-06,0.6334
2024-03-07,0.6834
2024-03-08,0.6902
2024-03-09,0.7441
2024-03-10,0.7798
2024-03-11,0.7675
2024-03-12,0.7624
2024-03-13,0.7609
2024-03-14,0.7394
2024-03-15,0.694
2024-03-16,0.6465
2024-03-17,0.6303
2024-03-18,0.6232
2024-03-19,0.5798
2024-03-20,0.6092
2024-03-21,0.6329
2024-03-22,0.6238
2024-03-23,0.6349
2024-03-24,0.6446
2024-03-25,0.6603
2024-03-26,0.6836
2024-03-27,0.6741
2024-03-28,0.671
2024-03-29,0.6763
2024-03-30,0.6675
2024-03-31,0.6649
2024-04-01,0.6384
2024-04-02,0.5976
2024-04-03,0.5797
2024-04-04,0.5874
2024-04-05,0.5833
2024-04-06,0.5899
2024-04-07,0.5942
2024-04-08,0.6135
2024-04-09,0.6179
2024-04-10,0.6061
2024-04-11,0.6163
2024-04-12,0.5451
2024-04-13,0.4369
2024-04-14,0.4302
2024-04-15,0.4344
2024-04-16,0.4258
2024-04-17,0.4245
2024-04-18,0.4301
2024-04-19,0.4257
2024-04-20,0.4573
2024-04-21,0.4643
2024-04-22,0.4767
2024-04-23,0.4788
2024-04-24,0.4733
2024-04-25,0.4612
2024-04-26,0.4544
2024-04-27,0.4492
2024-04-28,0.4523
2024-04-29,0.4364
2024-04-30,0.4202
2024-05-01,0.4159
2024-05-02,0.426
2024-05-03,0.4426
2024-05-04,0.4481
2024-05-05,0.4478
2024-05-06,0.4482
2024-05-07,0.4344
2024-05-08,0.4267
2024-05-09,0.4306
2024-05-10,0.4223
2024-05-11,0.4163
2024-05-12,0.4098
2024-05-13,0.4051
2024-05-14,0.4034
2024-05-15,0.4214
2024-05-16,0.4274
2024-05-17,0.4354
2024-05-18,0.4344
2024-05-19,0.4264
2024-05-20,0.4496
2024-05-21,0.4674
2024-05-22,0.4631
2024-05-23,0.4478
2024-05-24,0.4521
2024-05-25,0.4612
2024-05-26,0.4533
2024-05-27,0.4628
2024-05-28,0.4575
2024-05-29,0.4592
2024-05-30,0.4494
2024-05-31,0.44
2024-06-01,0.4479
2024-06-02,0.4482
2024-06-03,0.4547
2024-06-04,0.4609
2024-06-05,0.4702
2024-06-06,0.4767
2024-06-07,0.4414
2024-06-08,0.4201
2024-06-09,0.4189
2024-06-10,0.417
2024-06-11,0.3981
2024-06-12,0.4064
2024-06-13,0.4013
2024-06-14,0.3863
