Date,Open*,High,Low,Close**,Volume,Market Cap
2023-06-15,$0.3339,$0.3368,$0.3241,$0.333,36924956.0,625481709.0
2023-06-16,$0.333,$0.3412,$0.3277,$0.3363,29841050.0,631595284.0
2023-06-17,$0.3362,$0.3481,$0.3347,$0.3409,28976109.0,640305192.0
2023-06-18,$0.3409,$0.3443,$0.3354,$0.3359,27046833.0,630840413.0
2023-06-19,$0.3359,$0.3411,$0.3318,$0.3387,29818452.0,636101332.0
2023-06-20,$0.3387,$0.3507,$0.3299,$0.3507,39169626.0,658740754.0
2023-06-21,$0.3507,$0.3753,$0.3497,$0.3727,65074486.0,705589067.0
2023-06-22,$0.3727,$0.3897,$0.367,$0.3682,56426524.0,697005837.0
2023-06-23,$0.3682,$0.3946,$0.3681,$0.3897,67428314.0,737691571.0
2023-06-24,$0.3897,$0.429,$0.3833,$0.4016,138042634.0,760230417.0
2023-06-25,$0.4016,$0.4114,$0.391,$0.3927,71985715.0,743500695.0
2023-06-26,$0.3928,$0.3931,$0.3729,$0.3779,53646792.0,715383053.0
2023-06-27,$0.3779,$0.3928,$0.3778,$0.3888,44645375.0,735959841.0
2023-06-28,$0.3889,$0.3894,$0.3567,$0.3608,47945417.0,682962147.0
2023-06-29,$0.3608,$0.3728,$0.3598,$0.3679,39564472.0,696489828.0
2023-06-30,$0.3679,$0.3896,$0.3611,$0.3848,77316386.0,728409718.0
2023-07-01,$0.3848,$0.4201,$0.3838,$0.4177,128277106.0,790825146.0
2023-07-02,$0.4178,$0.4188,$0.3982,$0.4059,64924009.0,768477417.0
2023-07-03,$0.406,$0.4123,$0.4001,$0.4072,51914232.0,770961173.0
2023-07-04,$0.4073,$0.4157,$0.3944,$0.3972,49624474.0,751914139.0
2023-07-05,$0.3972,$0.4025,$0.3794,$0.3855,44213009.0,729835879.0
2023-07-06,$0.3855,$0.4008,$0.3731,$0.3731,49626261.0,706226518.0
2023-07-07,$0.373,$0.3833,$0.3701,$0.3818,33717875.0,722866364.0
2023-07-08,$0.3819,$0.3897,$0.3808,$0.3873,33888949.0,733205346.0
2023-07-09,$0.3873,$0.3899,$0.3794,$0.3798,25999277.0,719067513.0
2023-07-10,$0.3798,$0.3922,$0.3711,$0.3838,36842339.0,726519443.0
2023-07-11,$0.3838,$0.3919,$0.3812,$0.3915,31813907.0,741091461.0
2023-07-12,$0.3915,$0.3986,$0.388,$0.3938,37783591.0,745539835.0
2023-07-13,$0.3938,$0.4423,$0.3861,$0.4422,99444923.0,837127005.0
2023-07-14,$0.4422,$0.4452,$0.4015,$0.4142,97944649.0,784045229.0
2023-07-15,$0.4142,$0.4246,$0.4062,$0.4182,38088681.0,791620110.0
2023-07-16,$0.4181,$0.4261,$0.4064,$0.4067,42133376.0,769992818.0
2023-07-17,$0.4067,$0.4196,$0.4026,$0.4179,50003721.0,791101490.0
2023-07-18,$0.4179,$0.4235,$0.3966,$0.4005,48515036.0,758116041.0
2023-07-19,$0.4005,$0.408,$0.3972,$0.3998,41808713.0,756840765.0
2023-07-20,$0.3998,$0.4056,$0.396,$0.4,49674202.0,757275270.0
2023-07-21,$0.4,$0.404,$0.3976,$0.401,37033870.0,759165744.0
2023-07-22,$0.401,$0.4068,$0.3943,$0.3968,31422446.0,751245111.0
2023-07-23,$0.3969,$0.4095,$0.3955,$0.406,34560843.0,768596071.0
2023-07-24,$0.406,$0.4081,$0.3846,$0.3871,49825508.0,732903095.0
2023-07-25,$0.3871,$0.3879,$0.3808,$0.3863,33848112.0,731351033.0
2023-07-26,$0.3863,$0.3926,$0.3815,$0.3889,33283841.0,736220762.0
2023-07-27,$0.3889,$0.3942,$0.3821,$0.3844,32916332.0,727781129.0
2023-07-28,$0.3844,$0.3911,$0.3821,$0.3889,26286609.0,736176078.0
2023-07-29,$0.3889,$0.3917,$0.3871,$0.3914,26436597.0,740902096.0
2023-07-30,$0.3914,$0.3976,$0.3834,$0.3886,39065109.0,735616129.0
2023-07-31,$0.3886,$0.3925,$0.3791,$0.3823,30512663.0,723707531.0
2023-08-01,$0.3823,$0.3868,$0.3757,$0.3854,41192179.0,729534255.0
2023-08-02,$0.3853,$0.3866,$0.3724,$0.3733,32813525.0,706666847.0
2023-08-03,$0.3733,$0.3755,$0.3667,$0.3678,26597547.0,696260108.0
2023-08-04,$0.3677,$0.3701,$0.3608,$0.3637,27997146.0,688599614.0
2023-08-05,$0.3637,$0.3696,$0.3601,$0.3693,24073803.0,699087852.0
2023-08-06,$0.3693,$0.3754,$0.3689,$0.3738,34467723.0,707697018.0
2023-08-07,$0.3738,$0.3797,$0.3589,$0.3664,47537975.0,693588514.0
2023-08-08,$0.3664,$0.3747,$0.3626,$0.3705,37875055.0,701477438.0
2023-08-09,$0.3706,$0.3736,$0.3653,$0.3676,45105400.0,695928925.0
2023-08-10,$0.3676,$0.3712,$0.3658,$0.3668,37266683.0,694388659.0
2023-08-11,$0.3668,$0.3708,$0.3654,$0.3697,44496493.0,699813163.0
2023-08-12,$0.3697,$0.3722,$0.368,$0.3707,49951634.0,701750258.0
2023-08-13,$0.3707,$0.3713,$0.3654,$0.3661,50874755.0,692982254.0
2023-08-14,$0.3661,$0.3679,$0.3623,$0.3651,63332152.0,691263100.0
2023-08-15,$0.3652,$0.3664,$0.3392,$0.3451,55997193.0,653297831.0
2023-08-16,$0.3451,$0.3453,$0.3236,$0.3282,55822026.0,621225399.0
2023-08-17,$0.3281,$0.3345,$0.2845,$0.2962,72462568.0,560815338.0
2023-08-18,$0.2963,$0.3096,$0.2957,$0.3065,62278135.0,580145221.0
2023-08-19,$0.3065,$0.3091,$0.3036,$0.3081,45006746.0,583355222.0
2023-08-20,$0.3082,$0.311,$0.3049,$0.3085,35808268.0,583926347.0
2023-08-21,$0.3084,$0.3091,$0.2968,$0.3011,49732779.0,570057152.0
2023-08-22,$0.3011,$0.3063,$0.2917,$0.3037,54802680.0,574852826.0
2023-08-23,$0.3037,$0.3141,$0.2999,$0.3112,49090406.0,589158392.0
2023-08-24,$0.3112,$0.3141,$0.302,$0.3052,48145215.0,577681708.0
2023-08-25,$0.3052,$0.3061,$0.3,$0.3054,44607867.0,578069049.0
2023-08-26,$0.3054,$0.3084,$0.2989,$0.2993,38502947.0,566546216.0
2023-08-27,$0.2993,$0.3022,$0.2975,$0.2999,32117177.0,567692618.0
2023-08-28,$0.2999,$0.3036,$0.2938,$0.3008,33178753.0,569462012.0
2023-08-29,$0.3008,$0.317,$0.2916,$0.3138,56214608.0,594098731.0
2023-08-30,$0.3138,$0.3161,$0.3041,$0.3053,45369902.0,577951954.0
2023-08-31,$0.3053,$0.3063,$0.2915,$0.2943,51834018.0,557214969.0
2023-09-01,$0.2943,$0.2966,$0.2887,$0.293,34662562.0,554752834.0
2023-09-02,$0.293,$0.2943,$0.2876,$0.292,29157418.0,552761794.0
2023-09-03,$0.292,$0.2946,$0.2878,$0.2905,28635451.0,549913149.0
2023-09-04,$0.2905,$0.2962,$0.2897,$0.292,33497644.0,552733652.0
2023-09-05,$0.292,$0.2948,$0.2895,$0.2929,38199964.0,554565199.0
2023-09-06,$0.2929,$0.2985,$0.2888,$0.2952,39251108.0,558807707.0
2023-09-07,$0.2952,$0.2998,$0.2923,$0.298,30489801.0,564095432.0
2023-09-08,$0.2981,$0.3008,$0.2913,$0.2932,28418995.0,554967560.0
2023-09-09,$0.2932,$0.296,$0.292,$0.294,18153808.0,556582450.0
2023-09-10,$0.294,$0.294,$0.2801,$0.282,31395457.0,533760031.0
2023-09-11,$0.282,$0.2827,$0.2662,$0.2694,56950248.0,509961619.0
2023-09-12,$0.2694,$0.281,$0.2687,$0.2695,41351929.0,510125308.0
2023-09-13,$0.2695,$0.2812,$0.268,$0.2803,36438379.0,530632247.0
2023-09-14,$0.2803,$0.2953,$0.2798,$0.2893,56373019.0,547592024.0
2023-09-15,$0.2893,$0.2972,$0.2879,$0.2959,33736077.0,560142064.0
2023-09-16,$0.2959,$0.3028,$0.2959,$0.3014,33551836.0,570571805.0
2023-09-17,$0.3014,$0.3015,$0.287,$0.2889,24382951.0,546957818.0
2023-09-18,$0.2889,$0.2968,$0.2861,$0.2925,27243267.0,553670486.0
2023-09-19,$0.2925,$0.3012,$0.2917,$0.2987,33571433.0,565480332.0
2023-09-20,$0.2987,$0.3017,$0.2925,$0.2996,29718139.0,567087652.0
2023-09-21,$0.2996,$0.3035,$0.2921,$0.2936,42798522.0,555765492.0
2023-09-22,$0.2936,$0.2954,$0.2912,$0.2941,23619742.0,556819099.0
2023-09-23,$0.2941,$0.2972,$0.2926,$0.2936,16916715.0,555771727.0
2023-09-24,$0.2936,$0.2996,$0.2924,$0.2933,39016859.0,555308268.0
2023-09-25,$0.2933,$0.3012,$0.2922,$0.2987,29008848.0,565537229.0
2023-09-26,$0.2988,$0.2992,$0.2932,$0.2968,25484109.0,561876469.0
2023-09-27,$0.2968,$0.3018,$0.2919,$0.2933,35134079.0,555285283.0
2023-09-28,$0.2933,$0.2999,$0.2928,$0.299,58453531.0,566018585.0
2023-09-29,$0.299,$0.3229,$0.2986,$0.316,53916179.0,598218384.0
2023-09-30,$0.316,$0.316,$0.3065,$0.3092,35867756.0,585282913.0
2023-10-01,$0.3092,$0.3262,$0.3083,$0.3237,32534991.0,612761276.0
2023-10-02,$0.3237,$0.3256,$0.3086,$0.3114,37327269.0,589569736.0
2023-10-03,$0.3114,$0.313,$0.3017,$0.3019,27856725.0,571521527.0
2023-10-04,$0.3019,$0.3019,$0.2908,$0.2976,38720564.0,563385868.0
2023-10-05,$0.2976,$0.2997,$0.2927,$0.2933,29824920.0,555162359.0
2023-10-06,$0.2932,$0.3014,$0.2932,$0.3006,21122934.0,569018980.0
2023-10-07,$0.3006,$0.3019,$0.2978,$0.2989,15013850.0,565925138.0
2023-10-08,$0.2989,$0.2998,$0.2949,$0.2972,16623406.0,562661680.0
2023-10-09,$0.2972,$0.2983,$0.277,$0.2812,34235050.0,532349597.0
2023-10-10,$0.2812,$0.2821,$0.2761,$0.2778,19805577.0,525956857.0
2023-10-11,$0.2778,$0.2797,$0.2731,$0.2783,19350704.0,526925035.0
2023-10-12,$0.2783,$0.2795,$0.2746,$0.2784,16929875.0,527131225.0
2023-10-13,$0.2784,$0.2842,$0.2779,$0.2811,16373097.0,532230777.0
2023-10-14,$0.2812,$0.2863,$0.281,$0.2838,18504252.0,537271522.0
2023-10-15,$0.2838,$0.2886,$0.283,$0.2856,15752166.0,540714349.0
2023-10-16,$0.2856,$0.2977,$0.2856,$0.2886,35507977.0,546406619.0
2023-10-17,$0.2886,$0.2886,$0.279,$0.2811,25312166.0,532078482.0
2023-10-18,$0.2811,$0.2832,$0.2767,$0.2772,18148300.0,524785440.0
2023-10-19,$0.2772,$0.2795,$0.2729,$0.2783,18313283.0,526927518.0
2023-10-20,$0.2784,$0.2905,$0.2768,$0.2866,28656327.0,542524856.0
2023-10-21,$0.2866,$0.3025,$0.2866,$0.2989,32739156.0,565837257.0
2023-10-22,$0.2989,$0.305,$0.2958,$0.3049,69269451.0,577127004.0
2023-10-23,$0.3046,$0.3256,$0.3037,$0.3256,77630785.0,616482927.0
2023-10-24,$0.3257,$0.3538,$0.3242,$0.3505,151882912.0,663574858.0
2023-10-25,$0.3506,$0.3593,$0.3377,$0.3464,93770940.0,655823043.0
2023-10-26,$0.3465,$0.3652,$0.3366,$0.3528,116679456.0,667899668.0
2023-10-27,$0.3528,$0.3528,$0.3361,$0.3402,59930696.0,644063081.0
2023-10-28,$0.3402,$0.3533,$0.3398,$0.351,32989581.0,664521286.0
2023-10-29,$0.3511,$0.3881,$0.3453,$0.379,107785711.0,717468760.0
2023-10-30,$0.379,$0.3881,$0.3683,$0.3781,78917362.0,715789338.0
2023-10-31,$0.3781,$0.38,$0.3546,$0.3639,74908915.0,688858324.0
2023-11-01,$0.3639,$0.3804,$0.3526,$0.3803,72214902.0,720032319.0
2023-11-02,$0.3804,$0.4182,$0.3804,$0.4037,193801912.0,764301354.0
2023-11-03,$0.4037,$0.4037,$0.3877,$0.4,78509120.0,757171050.0
2023-11-04,$0.4,$0.4094,$0.3948,$0.407,58381115.0,770482686.0
2023-11-05,$0.407,$0.4189,$0.3966,$0.4039,83375677.0,764646989.0
2023-11-06,$0.4039,$0.4278,$0.4019,$0.4237,123737909.0,802143246.0
2023-11-07,$0.4237,$0.4343,$0.4006,$0.4174,104637743.0,790177779.0
2023-11-08,$0.4174,$0.4294,$0.4107,$0.4279,68969820.0,809963896.0
2023-11-09,$0.4278,$0.4474,$0.4035,$0.4177,145864371.0,790837824.0
2023-11-10,$0.4178,$0.4376,$0.4145,$0.4344,110853315.0,822296101.0
2023-11-11,$0.4344,$0.5022,$0.416,$0.4701,213603002.0,889873282.0
2023-11-12,$0.47,$0.4762,$0.452,$0.4662,114121344.0,882548524.0
2023-11-13,$0.4662,$0.4861,$0.4466,$0.4466,140966631.0,845522564.0
2023-11-14,$0.4465,$0.4496,$0.4084,$0.4268,124739092.0,808064243.0
2023-11-15,$0.4268,$0.4543,$0.4218,$0.452,108740911.0,855639466.0
2023-11-16,$0.452,$0.4605,$0.4249,$0.4313,110167997.0,816422192.0
2023-11-17,$0.4311,$0.4432,$0.4072,$0.4268,84456377.0,807897047.0
2023-11-18,$0.4268,$0.4272,$0.398,$0.4172,70607181.0,789887890.0
2023-11-19,$0.4173,$0.4337,$0.4092,$0.4313,55038692.0,816428210.0
2023-11-20,$0.4312,$0.436,$0.4193,$0.421,73807891.0,796982048.0
2023-11-21,$0.421,$0.428,$0.3774,$0.3784,86771443.0,716369925.0
2023-11-22,$0.3783,$0.4087,$0.377,$0.4047,69290520.0,766105448.0
2023-11-23,$0.4047,$0.4094,$0.3997,$0.4055,55255643.0,767578896.0
2023-11-24,$0.4055,$0.4169,$0.4047,$0.4134,64648937.0,782585867.0
2023-11-25,$0.4134,$0.4728,$0.4117,$0.4633,270135990.0,877004743.0
2023-11-26,$0.4633,$0.4674,$0.4446,$0.4505,147861394.0,852860440.0
2023-11-27,$0.4504,$0.4653,$0.4294,$0.4403,125209678.0,833577218.0
2023-11-28,$0.4403,$0.4442,$0.4241,$0.4438,87569795.0,840197396.0
2023-11-29,$0.4438,$0.4445,$0.4327,$0.4412,83645905.0,835183663.0
2023-11-30,$0.4412,$0.4415,$0.43,$0.4321,60050441.0,817987026.0
2023-12-01,$0.4321,$0.4412,$0.4289,$0.4396,63262384.0,832113648.0
2023-12-02,$0.4395,$0.4599,$0.4377,$0.4582,72920960.0,867467164.0
2023-12-03,$0.4582,$0.4599,$0.4452,$0.4505,79345245.0,852763780.0
2023-12-04,$0.4504,$0.469,$0.4416,$0.4518,129322455.0,855236231.0
2023-12-05,$0.4518,$0.4784,$0.4504,$0.4699,153983316.0,889478935.0
2023-12-06,$0.4699,$0.4928,$0.4617,$0.4726,173981748.0,894628321.0
2023-12-07,$0.4727,$0.502,$0.466,$0.502,172890467.0,950345695.0
2023-12-08,$0.502,$0.5227,$0.4871,$0.521,137399599.0,986232944.0
2023-12-09,$0.5209,$0.5502,$0.5206,$0.5348,178217337.0,1012432329.0
2023-12-10,$0.5347,$0.5729,$0.5249,$0.5316,239373503.0,1006417087.0
2023-12-11,$0.5318,$0.5333,$0.4734,$0.4896,249999821.0,926908502.0
2023-12-12,$0.4896,$0.4972,$0.48,$0.4947,113504298.0,936439281.0
2023-12-13,$0.4947,$0.504,$0.4636,$0.5023,129505256.0,950892111.0
2023-12-14,$0.5022,$0.5167,$0.4945,$0.5138,104322267.0,972601574.0
